paper_id,year,title,venue,url,authors,author_ids,n_authors,venue_rank
N19-4004,2019,INS: An Interactive Chinese News Synthesis System,naacl,https://aclanthology.org/N19-4004/,Hui Liu; Wentao Qin; Xiaojun Wan,hui-liu; wentao-qin; xiaojun-wan,3,2
N19-1016,2019,Implementation of a Chomsky-Schützenberger n-best parser for weighted multiple context-free grammars,naacl,https://aclanthology.org/N19-1016/,Thomas Ruprecht; Tobias Denkinger,thomas-ruprecht; tobias-denkinger,2,2
N19-1133,2019,Star-Transformer,naacl,https://aclanthology.org/N19-1133/,Qipeng Guo; Xipeng Qiu; Pengfei Liu; Yunfan Shao; Xiangyang Xue; Zheng Zhang,qipeng-guo; xipeng-qiu; pengfei-liu; yunfan-shao; xiangyang-xue; zheng-zhang,6,2
W19-2306,2019,Paraphrase Generation for Semi-Supervised Learning in NLU,naacl,https://aclanthology.org/W19-2306/,Eunah Cho; He Xie; William M. Campbell,eunah-cho; he-xie; william-m-campbell,3,2
N19-1089,2019,PoMo: Generating Entity-Specific Post-Modifiers in Context,naacl,https://aclanthology.org/N19-1089/,Jun Seok Kang; Robert Logan; Zewei Chu; Yang Chen; Dheeru Dua; Kevin Gimpel; Sameer Singh; Niranjan Balasubramanian,jun-seok-kang; robert-logan; zewei-chu; yang-chen; dheeru-dua; kevin-gimpel; sameer-singh; niranjan-balasubramanian,8,2
N19-1321,2019,Adapting RNN Sequence Prediction Model to Multi-label Set Prediction,naacl,https://aclanthology.org/N19-1321/,Kechen Qin; Cheng Li; Virgil Pavlu; Javed Aslam,kechen-qin; cheng-li; virgil-pavlu; javed-aslam,4,2
N19-1359,2019,Information Aggregation for Multi-Head Attention with Routing-by-Agreement,naacl,https://aclanthology.org/N19-1359/,Jian Li; Baosong Yang; Zi-Yi Dou; Xing Wang; Michael R. Lyu; Zhaopeng Tu,jian-li; baosong-yang; zi-yi-dou; xing-wang; michael-r-lyu; zhaopeng-tu,6,2
N19-1034,2019,Multi-task Learning for Multi-modal Emotion Recognition and Sentiment Analysis,naacl,https://aclanthology.org/N19-1034/,Md Shad Akhtar; Dushyant Chauhan; Deepanway Ghosal; Soujanya Poria; Asif Ekbal; Pushpak Bhattacharyya,md-shad-akhtar; dushyant-chauhan; deepanway-ghosal; soujanya-poria; asif-ekbal; pushpak-bhattacharyya,6,2
N19-1245,2019,MathQA: Towards Interpretable Math Word Problem Solving with Operation-Based Formalisms,naacl,https://aclanthology.org/N19-1245/,Aida Amini; Saadia Gabriel; Shanchuan Lin; Rik Koncel-Kedziorski; Yejin Choi; Hannaneh Hajishirzi,aida-amini; saadia-gabriel; shanchuan-lin; rik-koncel-kedziorski; yejin-choi; hannaneh-hajishirzi,6,2
N19-1325,2019,Exploiting Noisy Data in Distant Supervision Relation Classification,naacl,https://aclanthology.org/N19-1325/,Kaijia Yang; Liang He; Xin-yu Dai; Shujian Huang; Jiajun Chen,kaijia-yang; liang-he; xinyu-dai; shujian-huang; jiajun-chen,5,2
N19-4008,2019,"Eidos, INDRA, & Delphi: From Free Text to Executable Causal Models",naacl,https://aclanthology.org/N19-4008/,Rebecca Sharp; Adarsh Pyarelal; Benjamin Gyori; Keith Alcock; Egoitz Laparra; Marco A. Valenzuela-Escárcega; Ajay Nagesh; Vikas Yadav; John Bachman; Zheng Tang; Heather Lent; Fan Luo; Mithun Paul; Steven Bethard; Kobus Barnard; Clayton Morrison; Mihai Surdeanu,rebecca-sharp; adarsh-pyarelal; benjamin-gyori; keith-alcock; egoitz-laparra; marco-a-valenzuela-escarcega; ajay-nagesh; vikas-yadav; john-bachman; zheng-tang; heather-lent; fan-luo; mithun-paul; steven-bethard; kobus-barnard; clayton-morrison; mihai-surdeanu,17,2
N19-1001,2019,Entity Recognition at First Sight: Improving NER with Eye Movement Information,naacl,https://aclanthology.org/N19-1001/,Nora Hollenstein; Ce Zhang,nora-hollenstein; ce-zhang,2,2
N19-1012,2019,“President Vows to Cut <Taxes> Hair”: Dataset and Analysis of Creative Text Editing for Humorous Headlines,naacl,https://aclanthology.org/N19-1012/,Nabil Hossain; John Krumm; Michael Gamon,nabil-hossain; john-krumm; michael-gamon,3,2
N19-1291,2019,Scalable Collapsed Inference for High-Dimensional Topic Models,naacl,https://aclanthology.org/N19-1291/,Rashidul Islam; James Foulds,rashidul-islam; james-foulds,2,2
N19-1023,2019,Evaluating Composition Models for Verb Phrase Elliptical Sentence Embeddings,naacl,https://aclanthology.org/N19-1023/,Gijs Wijnholds; Mehrnoosh Sadrzadeh,gijs-wijnholds; mehrnoosh-sadrzadeh,2,2
N19-1390,2019,Combining Discourse Markers and Cross-lingual Embeddings for Synonym–Antonym Classification,naacl,https://aclanthology.org/N19-1390/,Michael Roth; Shyam Upadhyay,michael-roth; shyam-upadhyay,2,2
N19-1228,2019,Sequential Attention with Keyword Mask Model for Community-based Question Answering,naacl,https://aclanthology.org/N19-1228/,Jianxin Yang; Wenge Rong; Libin Shi; Zhang Xiong,jianxin-yang; wenge-rong; libin-shi; zhang-xiong,4,2
